Serial Number of system during year,Basin of origin,Name,Date(DD-MM-YYYY),Time (UTC),Latitude (lat),longitude  (Long),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,"Pressure Drop (hPa)[or ""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar(in degree),
1,BOB,ROANU,22-05-2016,0000,24.5,94.7,,996,20,3,D,,,
1,BOB,ROANU,22-05-2016,0300,The system weakened into a well marked low pressure area over Myanmar and adjoining Nagaland & Manipur,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,ARB,,27-06-2016,0900,21.5,64.5,1.5,996,25,4,D,,,
2,ARB,,27-06-2016,1200,21.5,64.0,1.5,996,25,4,D,,,
2,ARB,,27-06-2016,1800,21.5,64.0,1.5,996,25,4,D,,,
2,ARB,,28-06-2016,0000,21.8,64.0,1.5,996,25,4,D,,,
2,ARB,,28-06-2016,0300,21.3,62.5,1.5,996,25,4,D,,,
2,ARB,,28-06-2016,0600,21.3,62.5,1.5,996,25,4,D,,,
2,ARB,,28-06-2016,1200,20.8,62.3,1.5,996,25,4,D,,,
2,ARB,,28-06-2016,1800,20.3,62.4,1.5,996,25,4,D,,,
2,ARB,,29-06-2016,0000,20.3,62.3,1.5,996,25,4,D,,,
2,ARB,,29-06-2016,0300,Weakened into a Well Marked Low pressure area over northwest and adjoining west-central Arabian Sea.,,,,,,,,,
,,,,,,,,,,,,,,
3,LAND,,06-07-2016,0300,24.8,81.5,-,996.0,25,3,D,,,
3,LAND,,06-07-2016,0600,24.8,81.5,-,996.0,25,4,D,,,
3,LAND,,06-07-2016,1200,24.8,81.0,-,996.0,25,4,D,,,
3,LAND,,06-07-2016,1800,24.8,81.0,-,996.0,25,4,D,,,
3,LAND,,07-07-2016,0000,24.8,81.0,-,996.0,25,4,D,,,
3,LAND,,07-07-2016,0300,Weakened into a Well marked low pressure area over  northeast Madhya Pradesh and neighbourhood.,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,LAND,,09-08-2016,0900,22.0,88.5,-,996,25,4,D,,,
4,LAND,,09-08-2016,1200,22.0,88.5,-,996,25,4,D,,,
4,LAND,,09-08-2016,1800,22.5,89.0,-,995,25,4,D,,,
4,LAND,,10-08-2016,0000,22.8,89.7,-,995,25,4,D,,,
4,LAND,,10-08-2016,0300,23.0,89.4,-,994,30,5,DD,,,
4,LAND,,10-08-2016,0600,23.1,89.3,-,994,30,5,DD,,,
4,LAND,,10-08-2016,1200,23.4,89.1,-,994,30,5,DD,,,
4,LAND,,10-08-2016,1800,23.6,88.5,-,994,30,5,DD,,,
4,LAND,,11-08-2016,0000,23.8,87.8,-,994,30,5,DD,,,
4,LAND,,11-08-2016,0300,24.0,87.4,-,994,30,5,DD,,,
4,LAND,,11-08-2016,0600,24.0,87.0,-,996,25,4,D,,,
4,LAND,,11-08-2016,1200,24.0,86.5,-,996,25,4,D,,,
4,LAND,,11-08-2016,1800,24.0,85.7,-,996,25,4,D,,,
4,LAND,,12-08-2016,0000,24.0,85.0,-,996,25,4,D,,,
4,LAND,,12-08-2016,0300,24.0,84.5,-,996,25,4,D,,,
4,LAND,,12-08-2016,0600,24.0,84.5,-,996,25,4,D,,,
4,LAND,,12-08-2016,1200,24.2,84.5,-,996,25,4,D,,,
4,LAND,,12-08-2016,1800,24.4,84.0,-,996,20,3,D,,,
4,LAND,,13-08-2016,0000,Weakened into a Well Marked Low Pressure area over southwest Bihar and neighborhood ,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,BOB,,16-08-2016,1200,21.0,89.0,1.5,996.0,20,3,D,,,
5,BOB,,16-08-2016,1800,21.2,88.7,1.5,996.0,20,3,D,,,
5,BOB,,16-08-2016,0000,21.4,88.4,1.5,996.0,20,3,D,,,
5,BOB,,17-08-2016,0300,21.5,88.5,1.5,996.0,20,3,D,,,
5,BOB,,17-08-2016,0600,21.5,88.5,1.5,996.0,20,3,D,,,
5,BOB,,17-08-2016,,Crossed West Bengal coast between Digha and Diamond Harbour around 1130 UTC,,,,,,,,,
5,BOB,,17-08-2016,1200,22.0,88.2,-,994.0,25,4,DD,,,
5,BOB,,17-08-2016,1800,22.9,86.9,-,994.0,25,4,DD,,,
5,BOB,,18-08-2016,0000,23.7,85.7,-,994.0,25,4,DD,,,
5,BOB,,18-08-2016,0300,24.0,85.0,-,994.0,25,4,DD,,,
5,BOB,,18-08-2016,0600,24.0,84.4,-,994.0,25,4,DD,,,
5,BOB,,18-08-2016,1200,24.1,83.4,-,994.0,25,4,DD,,,
5,BOB,,18-08-2016,1800,24.4,82.7,-,994.0,25,4,DD,,,
5,BOB,,19-08-2016,0000,24.7,82.1,-,994.0,25,4,DD,,,
5,BOB,,19-08-2016,0300,25.0,82.3,-,994.0,25,4,DD,,,
5,BOB,,19-08-2016,0600,24.8,80.6,-,994.0,25,4,DD,,,
5,BOB,,19-08-2016,1200,24.7,79.0,-,994.0,25,4,DD,,,
5,BOB,,19-08-2016,1800,24.7,78.4,-,994.0,25,4,DD,,,
5,BOB,,20-08-2016,0000,24.7,77.8,-,994.0,25,4,DD,,,
5,BOB,,20-08-2016,0300,24.8,77.5,-,994.0,25,4,DD,,,
5,BOB,,20-08-2016,0600,24.8,77.3,-,994.0,25,4,DD,,,
5,BOB,,20-08-2016,1200,24.8,77.2,-,994.0,20,4,DD,,,
5,BOB,,20-08-2016,1800,25.0,76.5,-,996.0,15,3,D,,,
5,BOB,,21-08-2016,0000,Weakened into a Well Marked Low Pressure Area over east Rajasthan & adjoining west Madhya Pradesh ,,,,,,,,,
,,,,,,,,,,,,,,
6,BOB,KYANT,21-10-2016,0000,13.5,88.5,1.5,1003.0,25,3,D,,,
6,BOB,KYANT,21-10-2016,0300,13.6,88.8,1.5,1003.0,25,3,D,,,
6,BOB,KYANT,21-10-2016,0600,13.7,89.3,1.5,1003.0,25,3,D,,,
6,BOB,KYANT,21-10-2016,1200,13.9,89.8,1.5,1003.0,25,3,D,,,
6,BOB,KYANT,21-10-2016,1800,13.9,89.9,1.5,1003.0,25,3,D,,,
6,BOB,KYANT,22-10-2016,0000,13.9,90.0,1.5,1002.0,25,4,D,,,
6,BOB,KYANT,22-10-2016,0300,14.0,90.5,1.5,1002.0,25,4,D,,,
6,BOB,KYANT,22-10-2016,0600,14.5,91.3,1.5,1002.0,25,4,D,,,
6,BOB,KYANT,22-10-2016,1200,14.9,92.0,1.5,1002.0,25,4,D,,,
6,BOB,KYANT,22-10-2016,1800,15.2,92.5,1.5,1002.0,25,4,D,,,
6,BOB,KYANT,23-10-2016,0000,15.5,93.0,1.5,1002.0,25,4,D,,,
6,BOB,KYANT,23-10-2016,0300,15.5,93.0,2.0,1000.0,30,5,DD,,,
6,BOB,KYANT,23-10-2016,0600,15.5,93.0,2.0,1000.0,30,5,DD,,,
6,BOB,KYANT,23-10-2016,1200,15.7,93.1,2.0,1000.0,30,5,DD,,,
6,BOB,KYANT,23-10-2016,1800,16.0,93.2,2.0,1000.0,30,5,DD,,,
6,BOB,KYANT,24-10-2016,0000,16.4,93.2,2.0,1000.0,30,5,DD,,,
6,BOB,KYANT,24-10-2016,0300,16.4,93.2,2.0,1000.0,30,5,DD,,,
6,BOB,KYANT,24-10-2016,0600,16.5,93.1,2.0,1000.0,30,5,DD,,,
6,BOB,KYANT,24-10-2016,1200,16.7,92.7,2.0,1000.0,30,5,DD,,,
6,BOB,KYANT,24-10-2016,1800,16.8,92.3,2.0,1000.0,30,5,DD,,,
6,BOB,KYANT,25-10-2016,0000,16.9,91.7,2.0,1000.0,30,5,DD,,,
6,BOB,KYANT,25-10-2016,0300,17.0,91.2,2.5,998.0,35,6,CS,,,
6,BOB,KYANT,25-10-2016,0600,17.0,90.9,2.5,998.0,35,6,CS,,,
6,BOB,KYANT,25-10-2016,0900,16.8,90.6,2.5,998.0,35,6,CS,,,
6,BOB,KYANT,25-10-2016,1200,16.9,90.5,2.5,998.0,35,6,CS,,,
6,BOB,KYANT,25-10-2016,1500,16.7,90.2,2.5,998.0,35,6,CS,,,
6,BOB,KYANT,25-10-2016,1800,16.7,89.8,2.5,998.0,35,6,CS,,,
6,BOB,KYANT,25-10-2016,2100,16.5,89.6,2.5,997.0,35,7,CS,,,
6,BOB,KYANT,26-10-2016,0000,16.6,89.0,2.5,996.0,40,8,CS,,,
6,BOB,KYANT,26-10-2016,0300,16.6,88.5,2.5,996.0,40,8,CS,,,
6,BOB,KYANT,26-10-2016,0600,16.5,88.0,2.5,996.0,40,8,CS,,,
6,BOB,KYANT,26-10-2016,0900,16.4,87.5,2.5,996.0,40,8,CS,,,
6,BOB,KYANT,26-10-2016,1200,16.3,87.0,2.5,996.0,40,8,CS,,,
6,BOB,KYANT,26-10-2016,1500,16.2,86.6,2.5,997.0,40,7,CS,,,
6,BOB,KYANT,26-10-2016,1800,16.1,86.4,2.5,998.0,35,6,CS,,,
6,BOB,KYANT,26-10-2016,2100,15.9,85.9,2.0,1000.0,30,5,DD,,,
6,BOB,KYANT,27-10-2016,0000,15.7,85.5,2.0,1002.0,30,5,DD,,,
6,BOB,KYANT,27-10-2016,0300,15.6,85.0,2.0,1002.0,30,5,DD,,,
6,BOB,KYANT,27-10-2016,0600,15.6,84.5,2.0,1003.0,30,5,DD,,,
6,BOB,KYANT,27-10-2016,1200,15.5,83.5,1.5,1004.0,30,4,D,,,
6,BOB,KYANT,27-10-2016,1800,15.4,83.0,1.5,1004.0,25,3,D,,,
6,BOB,KYANT,28-10-2016,0000,Well Marked Low Pressure Area over westcentral Bay of Bengal off Andhra Pradesh coast,,,,,,,,,
,,,,,,,,,,,,,,
7,BOB,,02-11-2016,1800,12.7,88.0,1.5,1004.0,25,4,D,,,
7,BOB,,03-11-2016,0000,13.0,87.0,1.5,1004.0,25,4,D,,,
7,BOB,,03-11-2016,0300,13.4,86.5,1.5,1004.0,25,4,D,,,
7,BOB,,03-11-2016,0600,13.7,86.0,1.5,1004.0,25,4,D,,,
7,BOB,,03-11-2016,1200,14.2,85.5,1.5,1004.0,25,4,D,,,
7,BOB,,03-11-2016,1800,14.6,85.0,1.5,1004.0,25,4,D,,,
7,BOB,,04-11-2016,0000,15.5,84.8,1.5,1002.0,25,4,D,,,
7,BOB,,04-11-2016,0300,16.0,84.7,1.5,1002.0,25,4,D,,,
7,BOB,,04-11-2016,0600,16.0,84.7,1.5,1000.0,25,4,D,,,
7,BOB,,04-11-2016,1200,16.3,84.7,1.5,1000.0,25,4,D,,,
7,BOB,,04-11-2016,1800,16.9,85.0,1.5,1000.0,25,4,D,,,
7,BOB,,05-11-2016,0000,17.7,86.0,1.5,1000.0,25,4,D,,,
7,BOB,,05-11-2016,0300,18.3,87.0,1.5,1000.0,25,4,D,,,
7,BOB,,05-11-2016,0600,18.5,87.0,1.5,1000.0,25,4,D,,,
7,BOB,,05-11-2016,1200,19.0,88.7,1.5,1000.0,25,4,D,,,
7,BOB,,05-11-2016,1800,19.5,89.5,1.5,1000.0,25,4,D,,,
7,BOB,,06-11-2016,0000,20.5,91.0,1.5,1000.0,25,4,D,,,
7,BOB,,06-11-2016,0300,21.0,91.5,1.5,1000.0,25,4,D,,,
7,BOB,,06-11-2016,0600,21.5,91.8,1.5,1002.0,25,4,D,,,
7,BOB,,06-11-2016,0900,21.6,91.9,1.5,1003.0,25,3,D,,,
7,BOB,,06-11-2016,1200,Well Marked Low Pressure Area over southeast Bangladesh & adjoining northeast Bay of Bengal ,,,,,,,,,
,,,,,,,,,,,,,,
8,BOB,NADA,29-11-2016,1200,6.5,87.5,1.5,1004.0,25,2,D,,,
8,BOB,NADA,29-11-2016,1800,7.2,86.7,1.5,1003.0,25,2,D,,,
8,BOB,NADA,30-11-2016,0000,7.8,85.7,2.0,1002.0,30,3,DD,,,
8,BOB,NADA,30-11-2016,0300,8.2,85.3,2.5,1002.0,35,4,CS,,,
8,BOB,NADA,30-11-2016,0600,8.7,85.0,2.5,1002.0,35,4,CS,,,
8,BOB,NADA,30-11-2016,0900,9.5,84.3,2.5,1002.0,35,4,CS,,,
8,BOB,NADA,30-11-2016,1200,9.8,84.0,2.5,1000.0,40,4,CS,,,
8,BOB,NADA,30-11-2016,1500,10.0,83.5,2.5,1000.0,40,4,CS,,,
8,BOB,NADA,30-11-2016,1800,10.3,83.0,2.5,1000.0,40,4,CS,,,
8,BOB,NADA,30-11-2016,2100,10.4,82.0,2.5,1000.0,40,4,CS,,,
8,BOB,NADA,01-12-2016,0000,10.4,81.8,2.5,1000.0,35,4,CS,,,
8,BOB,NADA,01-12-2016,0300,10.4,81.7,2.5,1001.0,30,4,CS,,,
8,BOB,NADA,01-12-2016,0600,10.6,81.2,2.0,1003.0,30,3,DD,,,
8,BOB,NADA,01-12-2016,1200,10.7,80.7,2.0,1004.0,30,3,DD,,,
8,BOB,NADA,01-12-2016,1800,10.8,80.2,1.5,1006.0,25,2,D,,,
8,BOB,NADA,01-12-2016,,The system crossed north Tamilnadu coast near Nagapattinam (about 20 km south of Karaikal) between 2230 and 2330 UTC,,,,,,,,,
8,BOB,NADA,02-12-2016,0000,10.8,79.7,1006.0,25,2,D,,,,
8,BOB,NADA,02-12-2016,0300,Well Marked Low Pressure Area over interior Tamilnadu and neighbourhood,,,,,,,,,
,,,,,,,,,,,,,,
9,BOB,VARDAH,06-12-2016,0900,8.5,91.0,1.5,1002.0,25,3,D,,,
9,BOB,VARDAH,06-12-2016,1200,8.5,90.5,1.5,1002.0,25,3,D,,,
9,BOB,VARDAH,06-12-2016,1800,9.5,90.5,1.5,1002.0,25,3,D,,,
9,BOB,VARDAH,07-12-2016,0000,9.8,90.5,1.5,1002.0,25,4,D,,,
9,BOB,VARDAH,07-12-2016,0300,9.8,90.5,1.5,1002.0,25,4,D,,,
9,BOB,VARDAH,07-12-2016,0600,9.8,90.5,1.5,1002.0,25,4,D,,,
9,BOB,VARDAH,07-12-2016,1200,10.0,90.5,1.5,1002.0,25,4,D,,,
9,BOB,VARDAH,07-12-2016,1800,10.8,90.5,2.0,1000.0,30,5,DD,,,
9,BOB,VARDAH,08-12-2016,0000,11.2,90.5,2.5,998.0,35,6,CS,,,
9,BOB,VARDAH,08-12-2016,0300,11.5,90.5,2.5,998.0,35,7,CS,,,
9,BOB,VARDAH,08-12-2016,0600,11.5,90.5,2.5,998.0,35,7,CS,,,
9,BOB,VARDAH,08-12-2016,0900,11.5,90.5,2.5,998.0,35,7,CS,,,
9,BOB,VARDAH,08-12-2016,1200,11.7,90.5,2.5,997.0,40,8,CS,,,
9,BOB,VARDAH,08-12-2016,1500,11.7,90.5,2.5,997.0,40,8,CS,,,
9,BOB,VARDAH,08-12-2016,1800,11.8,90.5,2.5,997.0,40,8,CS,,,
9,BOB,VARDAH,08-12-2016,2100,12.0,90.5,2.5,997.0,40,8,CS,,,
9,BOB,VARDAH,09-12-2016,0000,12.0,90.4,3.0,996.0,45,10,CS,,,
9,BOB,VARDAH,09-12-2016,0300,12.1,90.4,3.0,996.0,45,10,CS,,,
9,BOB,VARDAH,09-12-2016,0600,12.1,90.3,3.0,996.0,45,10,CS,,,
9,BOB,VARDAH,09-12-2016,0900,12.2,90.3,3.0,996.0,45,10,CS,,,
9,BOB,VARDAH,09-12-2016,1200,12.2,90.0,3.0,996.0,45,10,CS,,,
9,BOB,VARDAH,09-12-2016,1500,12.2,89.9,3.0,994.0,45,12,CS,,,
9,BOB,VARDAH,09-12-2016,1800,12.3,89.6,3.0,992.0,50,14,SCS,,,
9,BOB,VARDAH,09-12-2016,2100,12.5,89.0,3.5,990.0,55,16,SCS,,,
9,BOB,VARDAH,1012/2016,0000,12.6,88.4,3.5,990.0,55,16,SCS,,,
9,BOB,VARDAH,1012/2016,0300,12.7,88.0,3.5,990.0,55,16,SCS,,,
9,BOB,VARDAH,1012/2016,0600,13.0,87.4,3.5,990.0,55,16,SCS,,,
9,BOB,VARDAH,1012/2016,0900,13.1,86.8,3.5,988.0,60,18,SCS,,,
9,BOB,VARDAH,1012/2016,1200,13.2,86.4,4.0,984.0,65,22,VSCS,,,
9,BOB,VARDAH,1012/2016,1500,13.3,85.9,4.0,984.0,65,22,VSCS,,,
9,BOB,VARDAH,1012/2016,1800,13.3,85.3,4.0,984.0,65,22,VSCS,,,
9,BOB,VARDAH,1012/2016,2100,13.3,85.0,4.0,982.0,65,22,VSCS,,,
9,BOB,VARDAH,11-12-2016,0000,13.3,84.7,4.0,980.0,70,24,VSCS,,,
9,BOB,VARDAH,11-12-2016,0300,13.1,84.3,4.0,980.0,70,24,VSCS,,,
9,BOB,VARDAH,11-12-2016,0600,13.1,83.7,4.0,980.0,70,24,VSCS,,,
9,BOB,VARDAH,11-12-2016,0900,13.1,83.3,4.0,980.0,70,24,VSCS,,,
9,BOB,VARDAH,11-12-2016,1200,13.3,83.0,4.0,980.0,70,24,VSCS,,,
9,BOB,VARDAH,11-12-2016,1500,13.3,82.5,4.0,980.0,70,24,VSCS,,,
9,BOB,VARDAH,11-12-2016,1800,13.1,82.3,4.0,980.0,70,24,VSCS,,,
9,BOB,VARDAH,11-12-2016,2100,13.2,81.9,4.0,978.0,70,26,VSCS,,,
9,BOB,VARDAH,12-12-2016,0000,13.2,81.6,4.0,975.0,70,26,VSCS,,,
9,BOB,VARDAH,12-12-2016,0300,13.2,81.2,4.0,975.0,70,26,VSCS,,,
9,BOB,VARDAH,12-12-2016,0600,13.2,80.7,4.0,975.0,70,26,VSCS,,,
9,BOB,VARDAH,12-12-2016,0900,13.1,80.3,3.5,975.0,60,26,SCS,,,
9,BOB,VARDAH,12-12-2016,Crossed North Tamil Nadu coast close to Chennai near 13.130N/80.30E during 0930-1130 UTC ,,,,,,,,,,
9,BOB,VARDAH,12-12-2016,1200,13.0,79.9,3.5,984.0,50,18,SCS,,,
9,BOB,VARDAH,12-12-2016,1500,12.9,79.5,3.0,994.0,40,10,CS,,,
9,BOB,VARDAH,12-12-2016,1800,12.7,79.1,2.0,1002.0,30,5,DD,,,
9,BOB,VARDAH,13-12-2016,0000,12.5,78.0,1.5,1003.0,20,3,D,,,
9,BOB,VARDAH,13-12-2016,0300,Well Marked Low Pressure Area over north interior Tamilnadu and south Interior Karnataka ,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10,ARB,,17-12-2016,0300,11.0,62.5,1.5,998.0,25,3,D,,,
10,ARB,,17-12-2016,0600,11.8,61.7,1.5,998.0,25,3,D,,,
10,ARB,,17-12-2016,1200,11.3,60.5,1.5,998.0,25,3,D,,,
10,ARB,,17-12-2016,1800,10.8,59.8,1.5,998.0,25,3,D,,,
10,ARB,,18-12-2016,0000,9.8,58.0,1.5,996.0,25,3,D,,,
10,ARB,,18-12-2016,0300,9.4,56.8,1.5,994.0,20,3,D,,,
10,ARB,,18-12-2016,0600,Weakened into a well marked low pressure area over southwest Arabian Sea,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
